Ancestor?,Scan date,Nr,Name,Nickname,Gender,Level,possibleLevels,CP,HP,Dust cost,Overall appraisal,ATT max?,DEF max?,HP max?,Stats appraisal,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,Special move 2,DPS,Box,Custom1,Custom2,Saved,Form,Egg,Lucky
0,9/28/19 9:45:50 PM,335,Zangoose,73Zang✞夫100B,♂,35.0,35.0,2159,140,8000,?,0,0,0,?,73.3,73.3,73.3,11.0,14.0,8.0,1,Shadow Claw,Close Combat,- ,23.4,Favorite,,,1,334,0,1
0,9/28/19 9:45:44 PM,308,Medicham,Ø91Medi夫⛤99A,♂,16.0,16.0,646,90,1900,?,0,0,0,?,91.1,91.1,91.1,15.0,11.5,14.5,0,Counter,Psychic,- ,13.0,Favorite,,,1,307,0,1
0,9/28/19 9:45:39 PM,67,Machoke,Ø76Macho夫83B,♀,15.0,15.0,838,103,1900,?,0,0,0,?,73.3,75.6,77.8,13.0,10.7,10.3,0,Karate Chop,Submission,- ,14.7,Favorite,,,1,66,0,1
0,9/28/19 9:45:35 PM,28,Sandslash Normal,Ø90San⚙⛰100A,♀,15.0,15.0,1004,99,1900,?,0,0,0,?,88.9,89.6,91.1,14.7,14.0,11.7,0,Metal Claw,Bulldoze,- ,13.9,Favorite,,,1,404,0,1
0,9/28/19 9:45:31 PM,322,Numel,0Numel♨⛰100A,♀,22.0,22.0,516,97,3000,?,0,0,0,?,0.0,0.0,0.0,0.0,0.0,0.0,1,Ember,Bulldoze,- ,10.5,,,,1,321,0,1
0,9/28/19 9:45:28 PM,383,Groudon,Ø87Grou☬⛰98A,,20.0,20.0,2317,129,2500,?,0,0,0,?,86.7,86.7,86.7,14.0,13.5,11.5,0,Dragon Tail,Earthquake,- ,24.0,Favorite,,,1,382,0,1
0,9/28/19 9:45:22 PM,113,Chansey,Ø86Chan⛤○87A,♀,15.0,15.0,525,258,1900,?,0,0,0,?,82.2,85.9,88.9,14.3,11.7,12.7,0,Zen Headbutt,Hyper Beam,- ,5.9,Favorite,,,1,112,0,1
0,9/28/19 9:45:18 PM,381,Latios,Ø77Lati☬❁89D,♂,15.0,15.0,1590,103,1900,?,0,0,0,?,75.6,77.0,77.8,12.7,11.7,10.3,0,Dragon Breath,Solar Beam,- ,21.8,Default,,,1,380,0,1
0,9/28/19 9:45:15 PM,387,Turtwig,Ø86Turt○❁92D,♂,20.0,20.0,653,95,2500,?,0,0,0,?,84.4,85.6,86.7,11.5,13.0,14.0,0,Tackle,Seed Bomb,- ,11.6,Favorite,,,1,753,0,1
0,9/28/19 9:45:10 PM,110,Weezing,69Weezi○✞90C,♀,33.0,33.0,1968,129,7000,?,0,0,0,?,68.9,68.9,68.9,11.0,10.0,10.0,1,Tackle,Shadow Ball,- ,20.1,Favorite,,,1,109,0,1
0,9/28/19 9:45:07 PM,97,Hypno,Ø91Hypn⛤夫80D,♀,28.0,28.0,1656,149,4500,?,0,0,0,?,91.1,91.1,91.1,15.0,12.5,13.5,0,Zen Headbutt,Focus Blast,- ,15.7,Favorite,,,1,658,0,1
0,9/28/19 9:45:04 PM,110,Weezing,Ø47Weez○✞90C,♂,34.0,34.0,1906,130,7000,?,0,0,0,?,42.2,46.7,51.1,3.5,7.5,10.0,0,Tackle,Shadow Ball,- ,19.4,Favorite,,,1,109,0,1
0,9/28/19 9:44:57 PM,808,Meltan,Ø30Melt↯100A,,30.0,30.0,774,98,5000,?,0,0,0,?,26.7,30.4,33.3,4.7,4.7,4.3,0,Thunder Shock,Thunderbolt,- ,12.1,Favorite,,,1,574,0,1
0,9/28/19 9:44:53 PM,305,Lairon,Ø54Lairo⚙99A,♂,34.0,34.0,1768,120,7000,?,0,0,0,?,53.3,54.4,55.6,13.5,6.5,4.5,0,Iron Tail,Heavy Slam,- ,21.0,Eevo,,,1,304,0,1
0,9/28/19 9:44:50 PM,26,Raichu Normal,Ø56Raic↯夫71E,♂,17.0,17.0,992,85,2200,?,0,0,0,?,53.3,55.6,57.8,12.5,12.0,0.5,0,Spark,Brick Break,- ,13.9,Default,,,1,400,0,1
0,9/28/19 9:44:46 PM,92,Gastly,96Gastly✞70B,♂,15.0,15.0,520,60,1900,?,0,0,0,?,95.6,95.6,95.6,15.0,13.0,15.0,1,Astonish,Night Shade,- ,12.5,Favorite,,,1,91,0,1
0,9/28/19 9:44:32 PM,242,Blissey,87Blisse⛤83A,♀,31.5,31.5,2357,377,3000,?,0,0,0,?,86.7,86.7,86.7,12.0,13.0,14.0,1,Zen Headbutt,Psychic,- ,15.1,Favorite,,,1,241,1,0
0,9/28/19 9:44:28 PM,25,Pikachu,Ø62Pika○↯92A,♂,4.0,4.0,90,29,400,?,0,0,0,?,57.8,62.1,68.9,12.6,10.8,4.7,0,Quick Attack,Thunderbolt,- ,4.9,Eevo,,,1,24,0,1
0,9/28/19 9:44:21 PM,40,Wigglytuff,89Wiggl☪❆77D,♀,35.0,35.0,1756,234,8000,?,0,0,0,?,88.9,88.9,88.9,14.0,13.0,13.0,1,Feint Attack,Ice Beam,- ,18.5,Favorite,,,1,39,0,1
0,9/28/19 9:44:17 PM,424,Ambipom,Ø82Ambi○100A,♀,30.0,30.0,2015,141,5000,?,0,0,0,?,80.0,82.2,84.4,12.3,12.0,12.7,0,Scratch,Hyper Beam,- ,25.1,Favorite,,,1,467,0,1
0,9/28/19 9:44:12 PM,190,Aipom,76Aipom○夫92B,♀,34.0,34.0,1173,119,7000,?,0,0,0,?,75.6,75.6,75.6,12.0,10.0,12.0,1,Scratch,Low Sweep,- ,14.3,Eevo,,,1,189,0,1
0,9/28/19 9:44:08 PM,424,Ambipom,76Ambip✞夫65C,♀,32.0,32.0,2067,140,6000,?,0,0,0,?,75.6,75.6,75.6,12.0,14.0,8.0,1,Astonish,Low Sweep,- ,16.6,Favorite,,,1,467,0,1
0,9/28/19 9:44:03 PM,25,Pikachu,Ø43Pika○↯98A,♂,8.0,8.0,186,41,800,?,0,0,0,?,37.8,43.0,48.9,11.4,7.9,0.0,0,Quick Attack,Wild Charge,- ,7.5,Eevo,,,1,24,0,1
0,9/28/19 9:44:00 PM,249,Lugia,Ø70Lugi☬✈94A,,15.0,15.0,1538,126,1900,?,0,0,0,?,60.0,69.6,77.8,12.8,9.2,9.3,0,Dragon Tail,Sky Attack,- ,17.9,Default,,,1,248,0,1
0,9/28/19 9:43:58 PM,91,Cloyster,Ø53Cloys❆99A,♂,6.0,6.0,393,45,600,?,0,0,0,?,42.2,52.6,64.4,11.4,7.2,5.0,0,Ice Shard,Avalanche,- ,10.2,Favorite,,,1,90,0,1
0,9/28/19 9:43:54 PM,136,Flareon,Ø96Flar♨100A,♂,18.0,18.0,1547,100,2200,?,0,0,0,?,95.6,95.6,95.6,14.0,14.5,14.5,0,Fire Spin,Overheat,- ,24.6,Favorite,,,1,135,0,1
0,9/28/19 9:43:52 PM,327,Spinda,Ø86Spi☪⛰100A,♂,15.0,15.0,507,87,1900,?,0,0,0,?,82.2,86.2,91.1,13.2,11.0,14.6,0,Sucker Punch,Dig,- ,7.9,Favorite,,,1,326,0,1
0,9/28/19 9:43:48 PM,295,Exploud,Ø47Expl☪♡89B,♀,33.0,33.0,1946,179,7000,?,0,0,0,?,44.4,47.1,51.1,9.0,4.8,7.4,0,Bite,Disarming Voice,- ,16.3,Favorite,,,1,294,0,1
0,9/28/19 9:43:37 PM,295,Exploud,Ø68Expl☪100A,♀,30.0,30.0,1927,175,5000,?,0,0,0,?,66.7,67.8,68.9,13.0,9.5,8.0,0,Bite,Crunch,- ,18.2,Default,,,1,294,0,1
0,9/28/19 9:43:31 PM,92,Gastly,Ø52Gastl✞79C,♂,30.0,30.0,937,80,5000,?,0,0,0,?,48.9,51.9,55.6,8.7,6.7,8.0,0,Lick,Night Shade,- ,18.9,Eevo,,,1,91,0,1
0,9/28/19 9:43:28 PM,210,Granbull,Ø70Gran☪♡93D,♂,31.0,31.0,2133,159,6000,?,0,0,0,?,68.9,70.0,71.1,13.0,9.5,9.0,0,Bite,Play Rough,- ,27.0,Default,,,1,209,0,1
0,9/28/19 9:43:24 PM,190,Aipom,Ø91Aipo✞夫75B,♀,17.0,17.0,641,88,2200,?,0,0,0,?,91.1,91.1,91.1,13.0,13.5,14.5,0,Astonish,Low Sweep,- ,8.5,Eevo,,,1,189,0,1
0,9/28/19 9:43:20 PM,190,Aipom,Ø48Aipo○夫93B,♀,30.0,30.0,1049,110,5000,?,0,0,0,?,44.4,47.8,51.1,11.5,5.0,5.0,0,Scratch,Low Sweep,- ,13.7,Eevo,,,1,189,0,1
0,9/28/19 9:43:16 PM,190,Aipom,Ø63Aipo✞✈84B,♀,31.0,31.0,1066,118,6000,?,0,0,0,?,57.8,63.1,68.9,4.4,9.4,14.6,0,Astonish,Aerial Ace,- ,12.1,Favorite,,,1,189,0,1
0,9/28/19 9:43:13 PM,410,Shieldon,Ø50Shie○⚙90D,♂,2.0,2.0,35,17,200,?,0,0,0,?,33.3,50.4,68.9,11.8,7.5,3.5,0,Tackle,Heavy Slam,- ,2.1,Favorite,,,1,453,0,1
0,9/28/19 9:43:08 PM,255,Torchic,80Torch○♨97C,♂,28.0,28.0,827,100,4500,?,0,0,0,?,80.0,80.0,80.0,9.0,13.0,14.0,1,Scratch,Flamethrower,- ,14.9,Eevo,,,1,254,0,1
0,9/28/19 9:43:04 PM,422,Shellos East Sea,Ø79Shel☪⛰98A,♀,9.0,9.0,278,77,1000,?,0,0,0,?,73.3,78.6,84.4,13.3,11.0,11.1,0,Hidden Power Dark,Mud Bomb,- ,5.8,Favorite,,,1,542,0,1
0,9/28/19 9:43:00 PM,456,Finneon,Ø77Finn☂⁂86B,♂,18.0,18.0,477,83,2200,?,0,0,0,?,73.3,77.3,82.2,13.6,8.8,12.4,0,Water Gun,Silver Wind,- ,7.4,Favorite,,,1,499,0,1
0,9/28/19 9:42:57 PM,381,Latios,89Latios⛤98A,♂,15.0,15.0,1615,104,1900,?,0,0,0,?,88.9,88.9,88.9,15.0,13.0,12.0,1,Zen Headbutt,Psychic,- ,24.2,Favorite,,,1,380,0,1
0,9/28/19 9:42:53 PM,425,Drifloon,Ø78Drif✞100A,♂,15.0,15.0,491,112,1900,?,0,0,0,?,75.6,78.2,80.0,13.0,11.8,10.4,0,Hex,Shadow Ball,- ,12.4,Favorite,,,1,468,0,1
0,9/28/19 9:42:50 PM,132,Ditto,98Ditto○100F,,15.0,15.0,355,76,1900,?,0,0,0,?,97.8,97.8,97.8,15.0,15.0,14.0,1,Transform,Struggle,- ,7.6,Favorite,,,1,131,0,1
0,9/28/19 9:42:47 PM,297,Hariyama,87Hariy夫100A,♂,32.0,32.0,2455,234,6000,?,0,0,0,?,86.7,86.7,86.7,12.0,14.0,13.0,1,Counter,Dynamic Punch,- ,31.4,Favorite,,,1,296,0,1
0,9/28/19 9:42:43 PM,207,Gligar,Ø38Glig✈☪87B,♀,1.0,1.0,23,15,200,?,0,0,0,?,17.8,37.6,57.8,6.0,7.4,3.5,0,Wing Attack,Night Slash,- ,1.8,Favorite,,,1,206,0,1
0,9/28/19 9:42:40 PM,133,Eevee,Ø84Eeve○100A,♂,29.0,29.0,862,112,5000,?,0,0,0,?,82.2,83.7,84.4,14.3,12.7,10.7,0,Quick Attack,Swift,- ,11.3,Favorite,,,1,132,0,1
0,9/28/19 9:42:37 PM,178,Xatu,47Xatu☪⛤94C,♀,33.0,33.0,1794,126,7000,?,0,0,0,?,46.7,46.7,46.7,4.0,11.0,6.0,1,Feint Attack,Future Sight,- ,20.8,Default,,,1,177,0,1
0,9/28/19 9:42:33 PM,421,Cherrim Overcast,Ø31Cher❁○91B,♂,11.0,11.0,566,79,1300,?,0,0,0,?,26.7,30.7,33.3,1.3,5.0,7.5,0,Razor Leaf,Hyper Beam,- ,11.0,Favorite,,,1,540,0,1
0,9/28/19 9:42:30 PM,434,Stunky,Ø58Stun○♨79C,♀,33.0,33.0,946,125,7000,?,0,0,0,?,55.6,58.2,62.2,10.0,8.8,7.4,0,Scratch,Flamethrower,- ,13.7,Eevo,,,1,477,0,1
0,9/28/19 9:42:20 PM,66,Machop,82Machop夫96A,♂,25.0,25.0,876,123,2000,?,0,0,0,?,82.2,82.2,82.2,12.0,12.0,13.0,1,Rock Smash,Cross Chop,- ,15.0,Favorite,,,1,65,1,0
0,9/28/19 9:42:14 PM,396,Starly,Ø81Sta○✈100A,♂,33.0,33.0,604,101,7000,?,0,0,0,?,80.0,80.7,82.2,11.0,10.3,15.0,0,Quick Attack,Aerial Ace,- ,12.9,Favorite,,,1,439,0,1
0,9/28/19 9:42:12 PM,143,Snorlax,49Snorl○⛰38F,♂,30.0,30.0,2520,249,5000,?,0,0,0,?,48.9,48.9,48.9,0.0,11.0,11.0,1,Yawn,Earthquake,- ,8.4,Favorite,,,1,618,0,1
0,9/28/19 9:42:08 PM,412,Burmy Trash,Ø24Burm○100F,♀,12.0,12.0,126,55,1300,?,0,0,0,?,13.3,24.0,35.6,4.0,6.4,0.4,0,Tackle,Struggle,- ,3.0,Favorite,,,1,578,0,1
0,9/28/19 9:42:06 PM,143,Snorlax,Ø73Snor○☬63E,♂,35.0,35.0,2883,261,8000,?,0,0,0,?,68.9,73.3,77.8,12.0,7.5,13.5,0,Yawn,Outrage,- ,15.7,Favorite,,,1,618,0,1
0,9/28/19 9:41:57 PM,414,Mothim,Ø61Moth✈⁂99A,♂,15.0,15.0,727,92,1900,?,0,0,0,?,60.0,60.9,62.2,9.2,11.8,6.4,0,Air Slash,Bug Buzz,- ,15.3,Favorite,,,1,457,0,1
0,9/28/19 9:41:55 PM,143,Snorlax,Ø52Snor○⛰38F,♂,32.0,32.0,2669,253,6000,?,0,0,0,?,48.9,52.2,55.6,9.0,3.5,11.0,0,Yawn,Earthquake,- ,9.0,Default,,,1,618,0,1
0,9/28/19 9:41:52 PM,143,Snorlax,Ø59Snor○⛰38F,♂,25.0,25.0,2164,227,4000,?,0,0,0,?,53.3,59.4,64.4,6.8,9.8,10.3,0,Yawn,Earthquake,- ,7.9,Default,,,1,618,0,1
0,9/28/19 9:41:51 PM,143,Snorlax,#Snorla49-60,♂,25.0,25.0,2160,227,4000,?,0,0,0,?,48.9,54.4,60.0,9.0,5.0,10.5,0,Yawn,- ,- ,0.0,Default,,,0,618,0,1
0,9/28/19 9:41:51 PM,143,Snorlax,#Snorla51-60,♂,25.0,25.0,2163,227,4000,?,0,0,0,?,51.1,55.6,60.0,9.0,5.5,10.5,0,Yawn,- ,- ,0.0,Default,,,0,618,0,1
0,9/28/19 9:41:48 PM,143,Snorlax,Ø44Snorl○54E,♂,29.0,29.0,2516,238,5000,?,0,0,0,?,37.8,44.4,51.1,11.0,7.8,1.3,0,Yawn,Hyper Beam,- ,12.6,Default,,,1,618,0,1
0,9/28/19 9:41:46 PM,143,Snorlax,67Snorl○⚙51F,♂,35.0,35.0,2903,256,8000,?,0,0,0,?,66.7,66.7,66.7,15.0,8.0,7.0,1,Yawn,Heavy Slam,- ,12.8,Favorite,,,1,618,0,1
0,9/28/19 9:41:43 PM,143,Snorlax,56Snorla○54E,♂,30.0,30.0,2608,248,5000,?,0,0,0,?,55.6,55.6,55.6,10.0,6.0,9.0,1,Yawn,Hyper Beam,- ,12.8,Default,,,1,618,0,1
0,9/28/19 9:41:40 PM,133,Eevee,Ø86Eeve○⛰94A,♂,18.0,18.0,537,88,2200,?,0,0,0,?,84.4,85.9,86.7,14.3,13.7,10.7,0,Quick Attack,Dig,- ,8.3,Eevo,,,1,132,0,1
0,9/28/19 9:41:37 PM,250,Ho-Oh,Ø86Ho-⚙♨100A,,15.0,15.0,1629,117,1900,?,0,0,0,?,82.2,85.6,88.9,13.5,11.5,13.5,0,Steel Wing,Fire Blast,- ,19.0,Default,,,1,249,0,1
0,9/28/19 9:41:35 PM,91,Cloyster,93Cloys❆☂90B,♂,21.0,21.0,1518,92,3000,?,0,0,0,?,93.3,93.3,93.3,15.0,13.0,14.0,1,Frost Breath,Hydro Pump,- ,18.3,Favorite,,,1,90,0,1
0,9/28/19 9:41:32 PM,143,Snorlax,Ø50Snor○⛰38F,♂,29.0,29.0,2523,240,5000,?,0,0,0,?,44.4,50.0,55.6,11.0,7.0,4.5,0,Yawn,Earthquake,- ,8.7,Default,,,1,618,0,1
0,9/28/19 9:41:29 PM,277,Swellow,Ø97Swel⚙✈77B,♀,3.0,3.0,142,36,400,?,0,0,0,?,95.6,96.7,97.8,14.8,14.3,14.3,0,Steel Wing,Brave Bird,- ,5.9,Default,,,1,276,0,1
0,9/28/19 9:41:26 PM,295,Exploud,Ø94Expl☪100A,♂,15.0,15.0,997,127,1900,?,0,0,0,?,93.3,94.4,95.6,14.5,13.5,14.5,0,Bite,Crunch,- ,13.0,Default,,,1,294,0,1
0,9/28/19 9:41:23 PM,100,Voltorb,Ø93Volt↯100A,,15.0,15.0,428,68,1900,?,0,0,0,?,93.3,93.3,93.3,15.0,14.5,12.5,0,Spark,Thunderbolt,- ,10.2,Eevo,,,1,99,0,1
0,9/28/19 9:41:19 PM,396,Starly,Ø50Star○✈99B,♀,30.0,30.0,515,97,5000,?,0,0,0,?,48.9,49.6,51.1,4.0,5.3,13.0,0,Tackle,Aerial Ace,- ,11.8,Eevo,,,1,439,0,1
0,9/28/19 9:41:14 PM,296,Makuhita,Ø93Maku夫⚙98A,♂,12.0,12.0,276,87,1300,?,0,0,0,?,91.1,92.6,93.3,14.7,14.3,12.7,0,Rock Smash,Heavy Slam,- ,8.0,Eevo,,,1,295,0,1
0,9/28/19 9:41:11 PM,347,Anorith,Ø60Anor○☠93D,♂,30.0,30.0,1208,100,5000,?,0,0,0,?,57.8,59.6,62.2,9.6,7.8,9.4,0,Scratch,Cross Poison,- ,17.4,Eevo,,,1,346,0,1
0,9/28/19 9:41:07 PM,289,Slaking,Ø62Sla○♡100A,♀,21.0,21.0,2525,182,3000,?,0,0,0,?,60.0,62.2,64.4,6.7,7.3,14.0,0,Yawn,Play Rough,- ,17.1,Favorite,,,1,288,0,1
0,9/28/19 9:41:04 PM,457,Lumineon,Ø42Lumi☂⁂87A,♂,28.0,28.0,1317,123,4500,?,0,0,0,?,37.8,42.2,46.7,8.5,5.5,5.0,0,Waterfall,Silver Wind,- ,13.5,Default,,,1,500,0,1
0,9/28/19 9:41:00 PM,345,Lileep,Ø64Lile⁂♜80B,♂,21.0,21.0,699,109,3000,?,0,0,0,?,57.8,64.4,71.1,5.5,9.5,14.0,0,Infestation,Ancient Power,- ,9.1,Eevo,,,1,344,0,1
0,9/28/19 9:40:57 PM,329,Vibrava,Ø89Vibra⛰86B,♂,20.0,20.0,681,90,2500,?,0,0,0,?,86.7,88.9,91.1,13.0,12.0,15.0,0,Mud Shot,Sand Tomb,- ,11.0,Favorite,,,1,328,0,1
0,9/28/19 9:40:56 PM,412,Burmy Plant,#Burmy18-100,♂,1.0,1.0,10,12,200,?,0,0,0,?,17.8,58.9,100.0,7.5,7.5,11.5,0, - ,- ,- ,0.0,Favorite,,,0,576,0,1
0,9/28/19 9:40:45 PM,412,Burmy Plant,73Burm⁂○100F,♂,1.0,1.0,10,12,200,?,0,0,0,?,73.3,73.3,73.3,15.0,9.0,9.0,1,Bug Bite,Struggle,- ,0.7,Favorite,,,1,576,0,1
0,9/28/19 9:40:41 PM,315,Roselia,Ø57Rose❁♡86B,♀,35.0,35.0,1608,109,8000,?,0,0,0,?,55.6,56.7,57.8,9.0,9.5,7.0,0,Razor Leaf,Dazzling Gleam,- ,22.2,Favorite,,,1,314,0,1
0,9/28/19 9:40:36 PM,295,Exploud,96Explo✞♨87B,♂,27.0,27.0,1798,170,4500,?,0,0,0,?,95.6,95.6,95.6,14.0,15.0,14.0,1,Astonish,Fire Blast,- ,15.2,Favorite,,,1,294,0,1
0,9/28/19 9:40:32 PM,190,Aipom,93Aipom○夫92B,♀,19.0,19.0,723,93,2500,?,0,0,0,?,93.3,93.3,93.3,15.0,12.0,15.0,1,Scratch,Low Sweep,- ,11.2,Favorite,,,1,189,0,1
0,9/28/19 9:40:29 PM,63,Abra,Ø43Abra↯⛤91C,♂,30.0,30.0,1012,70,5000,?,0,0,0,?,42.2,42.7,44.4,4.0,11.7,3.5,0,Charge Beam,Psyshock,- ,19.8,Favorite,,,1,726,0,1
0,9/28/19 9:40:18 PM,114,Tangela,Ø58Tang❁100A,♀,1.0,1.0,29,16,200,?,0,0,0,?,42.2,58.4,75.6,7.3,7.5,11.5,0,Vine Whip,Grass Knot,- ,3.2,Favorite,,,1,113,0,1
0,9/28/19 9:40:14 PM,133,Eevee,Ø59Eeve○⛰94A,♂,34.0,34.0,890,118,7000,?,0,0,0,?,53.3,59.3,68.9,9.7,6.0,11.0,0,Quick Attack,Dig,- ,10.7,Favorite,,,1,132,0,1
0,9/28/19 9:40:09 PM,258,Mudkip,Ø79Mudk☂⛰91A,♂,30.0,30.0,915,111,5000,?,0,0,0,?,77.8,78.9,80.0,11.0,9.5,15.0,0,Water Gun,Dig,- ,12.4,Favorite,,,1,633,0,1
0,9/28/19 9:40:05 PM,421,Cherrim Sunshine,Ø53Cher❁○91B,♀,10.0,10.0,541,75,1000,?,0,0,0,?,46.7,53.1,60.0,8.5,8.9,6.5,0,Razor Leaf,Hyper Beam,- ,11.0,Favorite,,,1,541,0,1
0,9/28/19 9:40:02 PM,426,Drifblim,91Drifb✞❆60C,♀,20.0,20.0,1349,193,2500,?,0,0,0,?,91.1,91.1,91.1,15.0,14.0,12.0,1,Astonish,Icy Wind,- ,13.0,Favorite,,,1,469,0,1
0,9/28/19 9:39:50 PM,304,Aron,Ø24Aron⚙♜89A,♀,30.0,30.0,940,103,5000,?,0,0,0,?,24.4,24.4,24.4,1.0,5.5,4.5,0,Metal Claw,Rock Tomb,- ,12.4,Eevo,,,1,303,0,1
0,9/28/19 9:39:09 PM,334,Altaria,#Altaria64,♂,20.0,20.0,1075,116,2500,?,0,0,0,?,64.4,64.4,64.4,9.0,6.0,14.0,1,Peck,- ,- ,0.0,Favorite,,,0,333,0,1
0,9/28/19 9:38:57 PM,334,Altaria,Ø51Alta✈☬83B,♂,20.0,20.0,1025,116,2500,?,0,0,0,?,44.4,51.1,57.8,1.5,7.5,14.0,0,Peck,Dragon Pulse,- ,12.5,Favorite,,,1,333,0,1
